Númer;Heiti;Einingar;Kennslumisseri;Námstig;
HAG403G;Þættir í eindahagfræði (Þættir í rekstrarhagfræði);6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04530620230&kennsluar=2022
HAG104M;Hagnýttar hagmælingar;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70754420226&kennsluar=2022
HAG515M;Hagfræði stjórnmálanna;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70985920226&kennsluar=2022
HAG203G;Hagræn stærðfræði II;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04510820230&kennsluar=2022
HAG262L;BA ritgerð;12;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91017320226&kennsluar=2022
HAG408G;Efnahagsmál í ræðu og riti (áður Aðferðir í hagfræði);6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70943320230&kennsluar=2022
HAG311G;Haglýsing;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04420120226&kennsluar=2022
HAG229F;Þjóðhagfræði í meistaranámi;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70930720230&kennsluar=2022
HAG024F;Þættir í tölfræði;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71119020226&kennsluar=2022
HAG230F;Skuldabréf;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70930820230&kennsluar=2022
HAG561L;Doktorsritgerð í hagfræði;180;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91023120233&kennsluar=2022
HAG508G;Alþjóðahagfræði;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04530120226&kennsluar=2022
HAG617M;Inngangur að réttarhagfræði;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70873020230&kennsluar=2022
HAG031M;Náttúruauðlindir og fiskihagfræði;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70980520230&kennsluar=2022
HAG124F;Inngangur að hagfræði fyrir meistaranema;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70930520226&kennsluar=2022
HAG433L;MS ritgerð í fjármálahagfræði;30;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91010720226&kennsluar=2022
HAG107G;Eindahagfræði I (Inngangur að hagfræði);6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70877820226&kennsluar=2022
HAG014F;Sérhæfð verkefni í fjármálum;6;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70855120230&kennsluar=2022
HAG409G;Bankar og peningar;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04530320230&kennsluar=2022
HAG601M;Hagkerfi;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04531620230&kennsluar=2022
HAG304G;Eindahagfræði III (Rekstrarhagfræði III);6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04520820226&kennsluar=2022
HAG434L;MA ritgerð í hagnýttri hagfræði;30;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91068420230&kennsluar=2022
HAG433L;MS ritgerð í fjármálahagfræði;30;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91010720233&kennsluar=2022
HAG309G;Heildahagrannsóknir;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71096120226&kennsluar=2022
HAG261L;BS ritgerð;12;Sumar;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91015420233&kennsluar=2022
HAG561L;Doktorsritgerð í hagfræði;180;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91023120226&kennsluar=2022
HAG108G;Líkindafræði og forritun (Líkindareikningur og tölfræði);6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70387220226&kennsluar=2022
HAG405G;Almannavalsfræði;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70985820230&kennsluar=2022
HAG434L;MA ritgerð í hagnýttri hagfræði;30;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91068420226&kennsluar=2022
HAG125F;Rekstrarhagfræði fyrir meistaranema;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70930620226&kennsluar=2022
HAG261L;BS ritgerð;12;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91015420226&kennsluar=2022
HAG208G;Fjármálahagfræði II;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70889620230&kennsluar=2022
HAG261L;BS ritgerð;12;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91015420230&kennsluar=2022
HAG209G;Heildahagfræði II (Þjóðhagfræði II);6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04520220230&kennsluar=2022
HAG103G;Heildahagfræði I (Þjóðhagfræði I);6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04510120226&kennsluar=2022
HAG122F;Fjármálastærðfræði I (Fjármálatölfræði);7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70929720226&kennsluar=2022
HAG301G;Hagræn stærðfræði III;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04520520226&kennsluar=2022
HAG406G;Þjóðhagslíkön og þjóðhagsspár;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71096420230&kennsluar=2022
HAG512G;Verðmat fyrirtækja;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70982720226&kennsluar=2022
HAG605G;Fjármál hins opinbera;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04530220230&kennsluar=2022
HAG101G;Hagræn stærðfræði I;6;Haust;foo;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04510320226&kennsluar=2022
HAG101F;Kostnaðar- og nytjagreining;6;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04062420226&kennsluar=2022
HAG606G;Hagrannsóknir III;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04530520230&kennsluar=2022
HAG014F;Sérhæfð verkefni í fjármálum;6;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70855120226&kennsluar=2022
HAG514M;Vinnumarkaðshagfræði;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70873120226&kennsluar=2022
HAG512M;Atvinnuvegahagfræði;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70362120226&kennsluar=2022
HAG122M;Fjármálastærðfræði II (Hagfræði og stærðfræði fjármálamarkaða);7,5;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70928720226&kennsluar=2022
HAG262L;BA ritgerð;12;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91017320230&kennsluar=2022
HAG561L;Doktorsritgerð í hagfræði;180;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91023120230&kennsluar=2022
HAG308G;Eindahagrannsóknir;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71096020226&kennsluar=2022
HAG210G;Hagrannsóknir;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04511120230&kennsluar=2022
HAG231F;Bankar og fjármálamarkaðir;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70930920230&kennsluar=2022
HAG407G;Þættir í heildahagfræði (Þættir í Þjóðhagfræði);6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70983320230&kennsluar=2022
HAG123F;Inngangur að megindlegum aðferðum í hagfræði;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70930420226&kennsluar=2022
HAG310G;Heildahagfræði III (Þjóðhagfræði III);6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04520620226&kennsluar=2022
HAG514G;Fjármál hins opinbera;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04530220226&kennsluar=2022
HAG262L;BA ritgerð;12;Sumar;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91017320233&kennsluar=2022
HAG201G;Eindahagfræði II (Rekstrarhagfræði II);6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04410820230&kennsluar=2022
HAG434L;MA ritgerð í hagnýttri hagfræði;30;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91068420233&kennsluar=2022
HAG433L;MS ritgerð í fjármálahagfræði;30;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91010720230&kennsluar=2022
HAG615G;Saga hagfræðikenninga;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71101920230&kennsluar=2022
HAG015F;Hagfræðileg ákvarðanataka;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70943420230&kennsluar=2022
;HAG106G;Fjármálahagfræði I;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70359620226&kennsluar=2022
