Númer;Heiti;Einingar;Kennslumisseri;Námstig;
TÁK502G;Táknmálstúlkun I;20;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=05102020226&kennsluar=2022
AMV105G;Mál annarrar ættar I: tyrkneska;10;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70852020226&kennsluar=2022
ÞÝÐ601F;Einstaklingsverkefni í þýðingafræði;10;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=05021620233&kennsluar=2022
ÍSL241L;BA-ritgerð í íslensku;10;Sumar;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91002920233&kennsluar=2022
KVI802F;Síður úr skrattans skruddu: Norræna bíóið og alþjóðleg kvikmyndamenning;10;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71143320230&kennsluar=2022
ÍSM441L;Meistararitgerð í íslenskri málfræði;30;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91012020226&kennsluar=2022
AMV441L;Meistararitgerð í almennum málvísindum;30;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91018620233&kennsluar=2022
ÍSE025G;Íslenskugrunnur I;10;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70769020226&kennsluar=2022
AMV602M;Málstofa í málvísindum: Uppruni og þróun tungumáls og áhrif þess á hugsun;10;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71027120230&kennsluar=2022
ÍSE602G;Íslenskar bókmenntir seinni alda;10;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=05503420230&kennsluar=2022
