Númer;Heiti;Einingar;Kennslumisseri;Námstig;
EVF264L;BS-verkefni í efnaverkfræði;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91055320226&kennsluar=2022
TÖL403G;Greining reiknirita;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08716220230&kennsluar=2022
EVF601M;Hönnun efnaferla;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70747320230&kennsluar=2022
IÐN601M;Straumlínustjórnun - Virði, sóun og umbótamenning;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70975020230&kennsluar=2022
IÐN214F;Verkefni;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70654420230&kennsluar=2022
HBV301G;Verkfræði kröfugreiningar;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71152920226&kennsluar=2022
TÖL202M;Þýðendur;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08726320230&kennsluar=2022
IÐN441L;Lokaverkefni;30;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91008320230&kennsluar=2022
TÖL261L;Lokaverkefni;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91012320230&kennsluar=2022
VÉL504G;Sjálfvirk stýrikerfi;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08216020226&kennsluar=2022
TÖL504M;Reiknirit í lífupplýsingafræði;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70737120226&kennsluar=2022
VÉL103M;Töluleg burðarþolsgreining;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08221320226&kennsluar=2022
VÉL502G;Straumfræði;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=08214420226&kennsluar=2022
EVF401M;Aðskilnaður efna;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71000420230&kennsluar=2022
