Númer;Heiti;Einingar;Kennslumisseri;Námstig;
HGF003G;Verkleg þjálfun - val;8;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71075420230&kennsluar=2022
LÆK514F;Heimilislæknisfræði;9;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71118020226&kennsluar=2022
LÆK314G;Lífefna- og sameindalíffræði A;8;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02012920226&kennsluar=2022
SJÚ615G;BS verkefni B;3;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70880020230&kennsluar=2022
LÆK412G;Klínisk aðferð: Samskiptafræði - Læknir/sjúklingur II;7;Heilsárs;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02012320230&kennsluar=2022
FAR301L;Verkefni til meistaraprófs í faraldsfræði;60;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91072720233&kennsluar=2022
LEI102G;Líffærafræði;8;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02081120226&kennsluar=2022
LÝÐ005F;Afbrigðasálfræði og hugræn atferlisfræði;6;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02700720230&kennsluar=2022
LÆK517F;Klínisk aðferð: Samskiptafræði - Læknir/sjúklingur IV og V;2;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71170420226&kennsluar=2022
LÆK228M;Sýklafræði fyrir hjúkrunarfræðinga;5;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71097420230&kennsluar=2022
GSL206F;Lokaritgerð í diplómanámi í geislafræði á meistarastigi;30;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02064220226&kennsluar=2022
LEI309G;Klínísk lífefnafræði - sjúkdómafræði;8;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02082420226&kennsluar=2022
GSL505G;Segulómun 2;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02064020226&kennsluar=2022
HGF403G;Upplýsingaöryggi og persónuvernd í heilbrigðisgagnafræði;5;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71096620230&kennsluar=2022
SJÚ105G;Inngangur að sjúkraþjálfun;7;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70734820226&kennsluar=2022
LÆK415G;Ónæmisfræði;5;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02013220230&kennsluar=2022
LÆK219G;Líffærafræði sj. IA - Fósturfræði;3;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70589520230&kennsluar=2022
LEI208G;Erfðafræði I;4;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71141220230&kennsluar=2022
LÝÐ561L;Verkefni til doktorsprófs í lýðheilsuvísindum;180;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91025420233&kennsluar=2022
HGF002G;Verkleg þjálfun á sjúkrahúsi;14;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71075320226&kennsluar=2022
LEI206F;Málstofa í lífeinda- og geislafræði;1;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02084220226&kennsluar=2022
LÆK404F;Geðlæknisfræði;14;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02015720230&kennsluar=2022
LÆK204F;Skurðlæknisfræði, fræðileg;13;Heilsárs;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02014020230&kennsluar=2022
LEI108G;Lífeðlisfræði 1;4;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70840420226&kennsluar=2022
SJÚ401L;Lokaverkefni;30;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91067720226&kennsluar=2022
LEI103G;Efnafræði - A;12;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02081320226&kennsluar=2022
GSL313G;Bráðaviðbrögð;1;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71157220226&kennsluar=2022
LÝÐ202F;Verklag í vísindum;6;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02700420230&kennsluar=2022
SJÚ207F;Íþróttasjúkraþjálfun;4;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70905120230&kennsluar=2022
LÝÐ045F;Alþjóðaheilsa;6;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70281320230&kennsluar=2022
LÆK105F;Meinefnafræði;2;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02014820226&kennsluar=2022
SJÚ210F;Lesnámskeið í Sjúkraþjálfun MS;4;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71089020230&kennsluar=2022
LEI409G;Meðhöndlun geislavirkra efna;4;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02083520230&kennsluar=2022
LÆK214G;Líffærafræði sj. IIA;8;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02010320230&kennsluar=2022
LÆK507F;Stjórnun og gæðamál;2;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02017620226&kennsluar=2022
LÆK071F;Aðferðir í ónæmisfræði;6;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02023020230&kennsluar=2022
GSL503G;Myndgreining á börnum;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02063220226&kennsluar=2022
LÆK401F;Fæðinga- og kvensjúkdómafræði;12;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02015620230&kennsluar=2022
GSL603G;Klínískt nám á myndgreiningadeildum 5;8;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02063920230&kennsluar=2022
LEI303G;Ónæmisfræði;8;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02082620226&kennsluar=2022
LÝÐ441L;Verkefni til meistaraprófs í lýðheilsuvísindum;30;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91026220226&kennsluar=2022
LÆK303F;Erfðalæknisfræði;4;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02013320226&kennsluar=2022
LÆK561L;Verkefni til doktorsprófs;180;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91033120230&kennsluar=2022
LEI407G;Blóðmeinafræði - sjúkdómafræði;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02082120230&kennsluar=2022
SJÚ411G;Aðferðir í sjúkraþjálfun II - Þjálffræði;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70746920230&kennsluar=2022
HGF102G;Stjórnun upplýsinga og skjala;5;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71096220226&kennsluar=2022
GSL306G;Klínískt nám á myndgreiningardeildum 2;8;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70597320226&kennsluar=2022
LÆK512F;Bráðalækningar;5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71117620226&kennsluar=2022
SJÚ202F;Öldrunarsjúkraþjálfun;4;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70896920230&kennsluar=2022
LÝÐ085F;Faraldsfræði II: Aðferðir í vísindum;6;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70955820230&kennsluar=2022
LEI502G;Líffærameinafræði - sjúkdómar;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02083320226&kennsluar=2022
GSL314G;Lyfjafræði og skuggaefni;5;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71157320226&kennsluar=2022
LÆK402F;Barnalæknisfræði;12;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02015520230&kennsluar=2022
LÆK601L;Rannsóknarverkefni;16;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91073320230&kennsluar=2022
HGF301G;Upplýsingatækni í heilbrigðisvísindum;2;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71028020226&kennsluar=2022
LÝÐ079F;LÍftölfræði III (Lifunargreining);6;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70762120230&kennsluar=2022
GSL441L;Lokaverkefni til MS prófs;60;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91017220226&kennsluar=2022
LÆK306F;Augnsjúkdómafræði;4;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02015420226&kennsluar=2022
LÆK028F;Stofnfrumur og frumusérhæfing;6;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02023520230&kennsluar=2022
SJÚ508G;Sjúkdóma- og sjúkraþjálfunarfræði stoðkerfis I;4;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70737420226&kennsluar=2022
LÆK207F;Myndgreining;3;Heilsárs;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02014420230&kennsluar=2022
LEI601G;Sýklafræði - rannsóknir;16;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02083020230&kennsluar=2022
TAL304F;Börn með sérþarfir - Snemmtæk íhlutun;6;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70441820226&kennsluar=2022
GSL401G;Segulómun 1;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02062720230&kennsluar=2022
LÆK514G;Meinafræði;14;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02013420226&kennsluar=2022
LÆK601L;Rannsóknarverkefni;0;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91073320226&kennsluar=2022
LÆK616F;Bráðalækningar;5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71117720230&kennsluar=2022
SJÚ307G;Töl- og aðferðafræði;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70737920226&kennsluar=2022
LEI002F;Málstofa í lífeinda- og geislafræði;1;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=02084220230&kennsluar=2022
