Númer;Heiti;Einingar;Kennslumisseri;Námstig;
SÁL441L;MS-ritgerð í sálfræði;60;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91019720230&kennsluar=2022
SÁL239F;Líkön fyrir undirliggjandi breytur II;8;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70893820230&kennsluar=2022
SÁL244F;Hegðunar- og námsfræði;10;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71043620230&kennsluar=2022
SÁL525M;R fyrir sálfræðinema;5;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71066320226&kennsluar=2022
SÁL627M;EEG heilarafritun: Aðferðafræði og uppsetning heilarafritunartilrauna;5;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71084020230&kennsluar=2022
SÁL237F;Mál- og lestrarerfiðleikar: Áhættuþættir og snemmtæk íhlutun;8;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70891020230&kennsluar=2022
SÁL245F;Siðareglur í hagnýtri atferlisgreiningu;3;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71119120230&kennsluar=2022
SÁL145F;Siðareglur í hagnýtri atferlisgreingu;3;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71050020226&kennsluar=2022
SÁL445L;"MS- ritgerð í hagnýtri sálfræði; skólar og þroski";30;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91072320230&kennsluar=2022
SÁL144F;Aðferðir í hagnýtri atferlisgreiningu B;2;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71048820226&kennsluar=2022
SÁL138F;Líkön fyrir undirliggjandi breytur I;8;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70892420226&kennsluar=2022
SÁL616L;BS-ritgerð í sálfræði;15;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91064920226&kennsluar=2022
SÁL139F;Gerð sjálfsmatskvarða;8;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70893720226&kennsluar=2022
SÁL204F;Greining og meðferð hegðunar- og námsörðugleika;8;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=10521520230&kennsluar=2022
SÁL624G;Umhverfissálfræði;5;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70688020230&kennsluar=2022
SÁL242F;Málstofa í megindlegri sálfræði II;6;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70942320230&kennsluar=2022
SÁL0BIF;Starfsþjálfun;6;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70898520226&kennsluar=2022
SÁL0BSF;Verkefni í aðferðum í hagnýtri atferlisgreiningu;3;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71010820230&kennsluar=2022
SÁL0BSF;Verkefni í aðferðum í hagnýtri atferlisgreiningu;3;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71010820226&kennsluar=2022
SÁL234F;Starfsþjálfun í sálfræðiráðgjöf;5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70652420226&kennsluar=2022
SÁL444L;"MS-ritgerð í hagnýtri sálfræði; samfélag og umhverfi";30;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91067420226&kennsluar=2022
SÁL228F;Meðferð sálmeina á fullorðinsárum;10;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=10521020230&kennsluar=2022
SÁL308G;Tölfræði III;5;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=10026220226&kennsluar=2022
SÁL0BGF;Starfsþjálfun;6;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70898320233&kennsluar=2022
SÁL443L;"MS- ritgerð í hagnýtri sálfræði; megindleg sálfræði";30;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91027520226&kennsluar=2022
SÁL0BHF;Starfsþjálfun;8;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70898420233&kennsluar=2022
SÁL202F;Klínísk taugasálfræði;8;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=10521220230&kennsluar=2022
SÁL0A0F;Lesnámskeið í sálfræði;4;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70553920230&kennsluar=2022
SÁL324G;Vinnu- og skipulagssálfræði;5;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71154920226&kennsluar=2022
SÁL322G;Hinseginleikinn í sálfræði;5;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71051420226&kennsluar=2022
SÁL443L;"MS- ritgerð í hagnýtri sálfræði; megindleg sálfræði";30;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91027520230&kennsluar=2022
SÁL416G;Skyn- og hugfræði B;10;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=10025220230&kennsluar=2022
SÁL229F;Meðferð sálmeina barna og unglinga;8;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=10521420230&kennsluar=2022
SÁL233M;Tölfræði;6;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=10520420230&kennsluar=2022
SÁL0AXF;Rannsóknareiningar;2;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70779620226&kennsluar=2022
SÁL135F;Sálmeinafræði fullorðinna;8;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=10521120226&kennsluar=2022
SÁL0BYF;Starfsþjálfun;4;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71013220233&kennsluar=2022
SÁL441L;MS-ritgerð í sálfræði;60;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91019720233&kennsluar=2022
SÁL236F;Klínísk viðtöl og geðgreining;4;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70497820230&kennsluar=2022
SÁL146F;Samfélag og heilsa;8;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71118820226&kennsluar=2022
SÁL232F;Siðareglur - Siðfræði fags;2;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=10520520230&kennsluar=2022
SÁL0BJF;Starfsþjálfun;8;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70898620233&kennsluar=2022
SÁL442L;"MS-ritgerð í hagnýtri sálfræði; klínísk sálfræði";30;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91014320226&kennsluar=2022
