Númer;Heiti;Einingar;Kennslumisseri;Námstig;
OSS225F;Þáttur félagssálfræði og ákvarðanatökufræða í opinberri stefnumörkun og framkvæmd;6;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70730320230&kennsluar=2022
KYN201G;Kyn, fjölmenning og margbreytileiki;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70059520230&kennsluar=2022
ASK105F;Staða Íslands í alþjóðakerfinu;6;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=10598520226&kennsluar=2022
STJ354G;Hryðjuverk;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70887720226&kennsluar=2022
STJ302F;Rannsóknaráætlanir og rannsóknarsnið meistararitgerða;6;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=10590520226&kennsluar=2022
BLF113F;Inngangur að fjölmiðlafræði;6;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70787420226&kennsluar=2022
OSS201F;Stefnumótun stofnana;6;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=10592720230&kennsluar=2022
ASK103F;Utanríkismál Íslands;6;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=10597120226&kennsluar=2022
BLF206F;Ljósvakamiðlar: Gerð útvarps- og sjónvarpsfrétta;8;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70188520230&kennsluar=2022
STJ428G;Umhverfisstjórnmál;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70058420230&kennsluar=2022
OSS441L;MPA-ritgerð;30;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91006820233&kennsluar=2022
ASK220F;Introduction to Security Studies;6;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70831020230&kennsluar=2022
BLF108F;Vinnubrögð I: Fjölmiðlalög og siðareglur;6;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70188420226&kennsluar=2022
OSS105F;Verkefni í opinberri stjórnsýslu;2;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=10591620226&kennsluar=2022
