Númer;Heiti;Einingar;Kennslumisseri;Námstig;
VIÐ158M;Þjónustugæði og þjónustumat;7,5;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70937620226&kennsluar=2022
VST101L;MS ritgerð;30;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91065620233&kennsluar=2022
MBA310F;Samkeppnishæfni og virðissköpun;6;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71164020226&kennsluar=2022
VIÐ121F;Félaga- og skuldaskilaréttur;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04443120226&kennsluar=2022
MBA114F;Gagnagreining;6;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04450320226&kennsluar=2022
VIÐ205G;Markaðsfærsla þjónustu;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04430420230&kennsluar=2022
VIÐ505M;Ársreikningagerð A;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04440420226&kennsluar=2022
MBA225F;Stjórnun;4;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04451220230&kennsluar=2022
VIÐ292F;Verkefnavæðing og sjálfbær stjórnun verkefna;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71121620230&kennsluar=2022
VIÐ415G;Stjórnun og skipulagsheildir;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04430120230&kennsluar=2022
VIÐ033G;Starfsþjálfun;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71051020230&kennsluar=2022
VIÐ609G;Stefnumótun fyrirtækja;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04440520230&kennsluar=2022
VIÐ204G;Rekstrarbókhald;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04420220230&kennsluar=2022
VIÐ174M;Samkeppnishæfni;7,5;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70927420226&kennsluar=2022
VIÐ201G;UI - tölvunotkun og töflureiknir;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04410720230&kennsluar=2022
VIÐ601G;Lögfræði B - þættir úr fjármálalögfræði;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04430620230&kennsluar=2022
VIÐ274F;Skipulag og atferli;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70932320230&kennsluar=2022
VIÐ404G;Rekstrarstjórnun;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04420720230&kennsluar=2022
VIÐ604G;Stýring fjármálasafna;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04432520230&kennsluar=2022
VIÐ506G;Inngangur að verkefnastjórnun;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04431320226&kennsluar=2022
VIÐ624G;Viðskiptaáætlanir;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70976620230&kennsluar=2022
VIÐ282M;Rekstur í sjávarútvegi;7,5;Vor;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70935620230&kennsluar=2022
VIÐ511G;Markaðsrannsóknir;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04440120226&kennsluar=2022
VIÐ147F;Fjármála- og eiginfjárgerningar;6;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04446420226&kennsluar=2022
VIÐ265F;Stefnumiðuð stjórnun;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70927320230&kennsluar=2022
VIÐ303F;Kenningar og aðferðafræði;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71134120226&kennsluar=2022
VIÐ157G;Vinnulag í viðskiptafræði;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04431820226&kennsluar=2022
VIÐ602G;Markaðsáætlanagerð;6;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04430820230&kennsluar=2022
VIÐ513G;Inngangur að vörumerkjastjórnun;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04440220226&kennsluar=2022
VIÐ272F;Hagnýt verkefni í fjármálum;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70932120230&kennsluar=2022
MBA302F;Stefnumótun;4;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04451020226&kennsluar=2022
VIÐ512G;Viðskipti og alþjóðasamskipti;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04443920226&kennsluar=2022
MBA101F;Stjórnun og samskipti;6;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04450120226&kennsluar=2022
RES442L;MS ritgerð;30;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91076820230&kennsluar=2022
ÞST401L;MS ritgerð;30;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91067020230&kennsluar=2022
VIÐ125F;Alþjóðlegur skattaréttur;6;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04446220226&kennsluar=2022
SSM431L;MS ritgerð;30;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91005720226&kennsluar=2022
VIÐ305F;Endurskoðunarferli II;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71143820226&kennsluar=2022
MBA222F;Miðlun upplýsinga;3;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70800620230&kennsluar=2022
VIÐ275F;Þróun mannauðs;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70932420230&kennsluar=2022
VST101L;MS ritgerð;30;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91065620230&kennsluar=2022
VIÐ033G;Starfsþjálfun;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71051020226&kennsluar=2022
VIÐ192F;Neytendahegðun;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70932920226&kennsluar=2022
VIÐ155M;Inngangur að rekstri;6;Haust;Grunnnám / Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04074320226&kennsluar=2022
VIÐ194F;Mannauðsstjórnun;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70934520226&kennsluar=2022
MAU431L;MS ritgerð;30;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91000320230&kennsluar=2022
MAU431L;MS ritgerð;30;Sumar;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91000320233&kennsluar=2022
MAV431L;MS-ritgerð;30;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91001320226&kennsluar=2022
VIÐ265L;BS ritgerð;12;Vor;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91066920230&kennsluar=2022
MBA113F;Stafræn markaðssetning;4;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71014120226&kennsluar=2022
MBA309F;Stjórnun-IESE;4;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71163620226&kennsluar=2022
VIÐ182F;Starf stjórnandans, forysta og samskipti;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70929520226&kennsluar=2022
VIÐ1A2F;Sjálfvirknivæddir ferlar;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71099920226&kennsluar=2022
VIÐ180F;Alþjóðaviðskipti;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70929220226&kennsluar=2022
MBA118F;Gagnagreining;6;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71156620226&kennsluar=2022
VIÐ188F;Agile og straumlínustjórnun;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70931720226&kennsluar=2022
VIÐ295F;Stjórnsýsluendurskoðun og opinber fjármál;7,5;Vor;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71144020230&kennsluar=2022
VIÐ505G;Fjármálamarkaðir;6;Haust;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=04444120226&kennsluar=2022
VIÐ0AFF;Starfsþjálfun;7,5;Haust;Framhaldsnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=71072920226&kennsluar=2022
VIÐ265L;BS ritgerð;12;Sumar;Grunnnám;https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=91066920233&kennsluar=2022
